ID start end token
f0t0e0 10.42 12.57 bottle,1
f0t0e1 12.65 19.92 label,1
f0t0e2 19.92 29.97 bottle,label,1
f0t0e3 31.08 32.88 pen,1
f0t0e4 32.88 43.8 pen,bottle,1
f0t0e5 43.8 47.27 pen,1
f0t0e6 47.75 49.43 bottle,1
f0t0e7 61.27 65.17 tube,2
f0t0e8 65.63 68.97 water,2
f0t0e9 68.97 77.35 water,tube,2
f0t0e10 77.35 83.6 tube,2
f0t0e11 84.37 87.57 water,2
f0t0e12 93.58 95.88 pipette2,3
f0t0e13 96.33 99.92 cacl2,3
f0t0e14 99.92 104.3 tube,3
f0t0e15 104.47 106.95 pipette2,3
f0t0e16 106.95 110.82 pipette2,cacl2,3
f0t0e17 110.82 112.02 pipette2,tube,3
f0t0e18 112.02 114.35 pipette2,cacl2,3
f0t0e19 114.35 116.12 pipette2,tube,3
f0t0e20 116.12 117.72 pipette2,3
f0t0e21 117.72 123.28 cacl2,3
f0t0e22 123.28 125.68 pipette2,3
f0t0e23 131.37 137.52 mgso4,4
f0t0e24 138.03 141.8 tube,4
f0t0e25 143.17 145.57 pipette1,4
f0t0e26 145.57 146.8 pipette1,mgso4,4
f0t0e27 146.8 148.43 pipette1,4
f0t0e28 148.43 149.1 pipette1,tube,4
f0t0e29 149.1 150.17 pipette1,4
f0t0e30 150.17 152.02 mgso4,pipette1,4
f0t0e31 152.02 154.18 pipette1,4
f0t0e32 154.18 156.33 pipette1,tube,4
f0t0e33 156.33 158.33 pipette1,4
f0t0e34 158.33 163.27 mgso4,4
f0t0e35 164.95 169.92 tube,4
f0t0e36 175.85 180.57 cellobiose,5
f0t0e37 181.35 182.25 boat,scale,5
f0t0e38 182.42 183.47 scale,5
f0t0e39 183.88 185.48 spatula,5
f0t0e40 185.48 194.12 spatula,cellobiose,5
f0t0e41 194.12 195.37 spatula,5
f0t0e42 195.37 200.88 cellobiose,5
f0t0e43 202.15 207 tube,5
f0t0e44 207 213.27 tube,boat,5
f0t0e45 213.27 217.83 tube,5
f0t0e46 224.25 227.08 biotin,6
f0t0e47 227.08 232.55 tube,6
f0t0e48 232.55 235.13 tube,pipette1,6
f0t0e49 235.15 243.18 tube,pipette1,6
f0t0e50 243.18 247.15 tube,6
f0t0e51 247.15 250.4 biotin,6
f0t0e52 250.4 261.38 tube,7
f0t0e53 261.38 273.33 tube,water,7
f0t0e54 273.33 276.92 tube,7
f0t0e55 280.78 288.5 tube,8
f0t0e56 295.92 302.83 bottle,9
f0t0e57 302.83 305.3 water,9
f0t0e58 305.32 310.47 bottle,water,9
f0t0e59 310.95 313 water,9
f0t0e60 313.67 317.07 bottle,9
f0t0e61 321.95 324.53 syringe,10
f0t0e62 324.55 333.65 syringe,bottle,10
f0t0e63 333.67 352.33 syringe,tube,10
f0t0e64 352.33 361.17 syringe,bottle,10
f0t0e65 361.17 363.87 syringe,10
f0t0e66 363.87 370.62 bottle,10
f0t0e67 371.23 375.6 tube,10
f0t0e68 383.5 389.03 bottle,11
f0t0e69 389.67 393.3 salt,11
f0t0e70 393.3 395.23 pipette1,11
f0t0e71 395.23 396.88 pipette1,salt,11
f0t0e72 396.88 398.15 pipette1,bottle,11
f0t0e73 398.15 399.8 pipette1,salt,11
f0t0e74 399.8 400.73 pipette1,bottle,11
f0t0e75 400.73 401.93 pipette1,salt,11
f0t0e76 401.93 402.95 pipette1,bottle,11
f0t0e77 402.95 404.22 pipette1,salt,11
f0t0e78 404.22 405.08 pipette1,bottle,11
f0t0e79 405.08 406.4 pipette1,salt,11
f0t0e80 406.4 407.17 pipette1,bottle,11
f0t0e81 407.17 407.9 pipette1,salt,11
f0t0e82 407.9 408.77 pipette1,bottle,11
f0t0e83 408.77 409.85 pipette1,salt,11
f0t0e84 409.85 410.97 pipette1,bottle,11
f0t0e85 410.97 412.75 pipette1,11
f0t0e86 412.75 416.75 bottle,11
f0t0e87 416.75 420.82 salt,11
f0t0e88 424.73 429.63 bottle,12
f0t0e89 429.63 433.12 water,12
f0t0e90 433.12 439.28 water,bottle,12
f0t0e91 439.28 442.18 bottle,12
f0t0e92 442.82 445.48 water,12
