ID start end token
f0t0e0 2.73 3.7 obj_blue_kalman.txt,1
f0t0e0 4.51 5.31 obj_blue_kalman.txt,1
f0t0e0 5.56 5.8 TAPE,1
f0t0e0 6.28 7.83 obj_blue_kalman.txt,1
f0t0e0 8.36 9.46 obj_blue_kalman.txt,1
f0t0e0 9.46 9.71 obj_blue_kalman.txt,obj_falconbox_kalman.txt,1
f0t0e0 10.05 10.32 obj_blue_kalman.txt,1
f0t0e0 10.57 12.17 obj_blue_kalman.txt,1
f0t0e0 12.72 13.14 obj_blue_kalman.txt,1
f0t0e0 13.51 18.99 obj_blue_kalman.txt,1
f0t0e0 19.27 19.53 TAPE,1
f0t0e0 19.94 20.45 obj_blue_kalman.txt,1
f0t0e0 22.47 24.05 obj_blue_kalman.txt,1
f0t0e0 24.33 27.54 obj_blue_kalman.txt,1
f0t0e0 27.8 28.48 obj_blue_kalman.txt,1
f0t0e0 30.87 31.41 obj_blue_kalman.txt,1
f0t0e0 31.93 33.8 obj_blue_kalman.txt,1
f0t0e0 34.46 35.12 obj_blue_kalman.txt,1
f0t0e0 38.2 38.48 obj_blue_kalman.txt,1
f0t0e0 39.82 40.7 obj_blue_kalman.txt,2
f0t0e0 43.77 44.05 obj_falconbox_kalman.txt,2
f0t0e0 44.85 47.76 obj_jug_kalman.txt,2
f0t0e0 49.62 52.57 PIPETTE,2
f0t0e0 52.57 53.37 obj_jug_kalman.txt,2
f0t0e0 53.37 55.22 obj_jug_kalman.txt,PIPETTE,2
f0t0e0 55.22 55.48 PIPETTE,2
f0t0e0 55.48 55.89 obj_jug_kalman.txt,PIPETTE,2
f0t0e0 55.89 56.14 obj_jug_kalman.txt,2
f0t0e0 56.95 58.42 PIPETTE,2
f0t0e0 59.47 60.4 obj_jug_kalman.txt,2
f0t0e0 62.12 62.4 PIPETTE,2
f0t0e0 62.65 62.94 PIPETTE,2
f0t0e0 64.66 64.94 obj_jug_kalman.txt,2
f0t0e0 65.45 66.8 obj_blue_kalman.txt,2
f0t0e0 66.8 67.05 obj_jug_kalman.txt,2
f0t0e0 67.05 67.32 obj_blue_kalman.txt,2
f0t0e0 70.38 70.64 obj_jug_kalman.txt,2
f0t0e0 82.64 82.9 PIPETTE,3
f0t0e0 83.17 83.44 PIPETTE,3
f0t0e0 84.77 85.04 obj_jug_kalman.txt,obj_purplebottle_kalman.txt,3
f0t0e0 85.04 94.77 obj_falconbox_kalman.txt,3
f0t0e0 116.29 116.6 obj_falconbox_kalman.txt,3
f0t0e0 116.89 117.32 obj_falconbox_kalman.txt,3
f0t0e0 118.13 118.49 PIPETTE,3
f0t0e0 123.7 125.7 PIPETTE,3
f0t0e0 132.63 138.01 obj_falconbox_kalman.txt,3
f0t0e0 138.28 147.17 obj_falconbox_kalman.txt,3
f0t0e0 147.44 148.01 obj_jug_kalman.txt,obj_purplebottle_kalman.txt,4
f0t0e0 148.01 148.77 obj_purplebottle_kalman.txt,4
f0t0e0 149.05 150.65 obj_purplebottle_kalman.txt,4
f0t0e0 155.56 156.25 obj_purplebottle_kalman.txt,4
f0t0e0 156.78 157.7 PIPETTE,4
f0t0e0 157.7 161.58 obj_purplebottle_kalman.txt,PIPETTE,4
f0t0e0 161.58 161.84 PIPETTE,4
f0t0e0 162.12 166.1 obj_purplebottle_kalman.txt,PIPETTE,4
f0t0e0 166.1 167.44 PIPETTE,4
f0t0e0 168.61 170.11 obj_purplebottle_kalman.txt,4
f0t0e0 170.11 170.36 obj_falconbox_kalman.txt,obj_purplebottle_kalman.txt,4
f0t0e0 182.99 183.27 obj_blue_kalman.txt,4
f0t0e0 184.07 184.34 obj_blue_kalman.txt,4
f0t0e0 185.51 185.79 obj_brownjar_kalman.txt,obj_purplejar_kalman.txt,5
f0t0e0 185.79 186.08 obj_brownjar_kalman.txt,5
f0t0e0 186.35 186.59 PIPETTE,5
f0t0e0 186.86 187.4 ZERO,5
f0t0e0 189.27 189.53 obj_falconbox_kalman.txt,5
f0t0e0 193.27 193.54 obj_brownjar_kalman.txt,5
f0t0e0 194.61 194.85 ZERO,5
f0t0e0 198.32 201.69 obj_greenbottle_kalman.txt,5
f0t0e0 201.69 201.98 obj_greenbottle_kalman.txt,PIPETTE,5
f0t0e0 201.98 202.25 PIPETTE,5
f0t0e0 206.22 206.76 PIPETTE,5
f0t0e0 207.02 207.82 PIPETTE,5
f0t0e0 208.22 208.75 PIPETTE,5
f0t0e0 209.01 209.42 obj_greenbottle_kalman.txt,PIPETTE,5
f0t0e0 209.42 209.67 obj_falconbox_kalman.txt,obj_greenbottle_kalman.txt,PIPETTE,5
f0t0e0 209.67 209.96 obj_greenbottle_kalman.txt,PIPETTE,5
f0t0e0 209.96 210.47 obj_greenbottle_kalman.txt,5
f0t0e0 210.47 210.74 obj_greenbottle_kalman.txt,PIPETTE,5
f0t0e0 210.74 211.56 obj_greenbottle_kalman.txt,5
f0t0e0 211.56 211.95 obj_falconbox_kalman.txt,obj_greenbottle_kalman.txt,5
f0t0e0 211.95 212.86 obj_greenbottle_kalman.txt,5
f0t0e0 212.86 213.13 obj_greenbottle_kalman.txt,PIPETTE,5
f0t0e0 213.13 213.96 obj_greenbottle_kalman.txt,5
f0t0e0 213.96 214.21 obj_greenbottle_kalman.txt,PIPETTE,5
f0t0e0 214.21 214.47 obj_greenbottle_kalman.txt,obj_purplebottle_kalman.txt,5
f0t0e0 214.47 214.76 obj_purplebottle_kalman.txt,5
